Line,Time on Ice,Possession %,Puck time in OZ %,Shot Attempts %,xG %,Game Score
27 Mccallum / 12 Kordic / 14 Sandilands ,20:49,74.4,78.9,95.7,99.6,-0.06
26 Elliott / 7 Betinol / 19 Wong ,66:24:00,62.4,69,82.3,69.3,_
21 Bassi / 12 Kordic / 14 Sandilands ,344:20:00,53.3,58.2,60.4,60.8,10.72
27 Mccallum / 11 Bierd ,18:48,53.1,55.2,55.2,60.9,-0.41
27 Mccallum / 11 Bierd  ,91:44:00,67.9,69.9,82.2,85.7,-0.41
91 Fleming / 26 Elliott / 19 Wong ,105:06:00,60.3,68,72.5,75.3,2.03
53 Schaefer / 27 Mccallum / 7 Betinol ,40:49:00,54.2,58.4,59.3,78.3,_
91 Fleming / 19 Wong ,25:45:00,52.5,62.7,66.7,51.9,0.29
7 Betinol / 19 Wong ,34:09:00,38.8,24.2,13.8,22.6,0.75
7 Betinol / 19 Wong,238:13:00,48.8,47.1,43.5,50.4,0.75
21 Bassi / 12 Kordic / 14 Sandilands,137:05:00,56.7,67,70,70,0.25
7 Betinol / 19 Wong,107:05:00,61.2,57.8,66.2,78.8,11.26
91 Fleming / 26 Elliott / 19 Wong,312:20:00,54.2,57.9,60.1,62.2,2.56
91 Fleming / 19 Wong,98:42:00,66.6,70.7,83.5,81.9,10.8
91 Fleming / 19 Wong ,85:46:00,49.9,60.2,62.1,50.6,0.55
53 Schaefer / 27 Mccallum / 7 Betinol,82:54:00,54.4,61.7,64.4,72.3,1.34
21 Bassi / 12 Kordic / 14 Sandilands ,95:01:00,57.7,67.9,70.4,70.9,_
7 Betinol / 19 Wong,273:52:00,51,50.8,50.9,56.1,-47.78
7 Betinol / 19 Wong,66:38:00,50.8,45.1,43.4,60.4,-47.82
21 Bassi / 12 Kordic / 14 Sandilands,128:16:00,55.4,63.4,65.6,59.8,2.91
27 Mccallum / 11 Bierd,51:17:00,59.6,62.8,65.6,75.9,1.43
26 Elliott / 7 Betinol / 19 Wong ,273:38:00,53.9,56.6,61.7,58.6,-0.29
26 Elliott / 7 Betinol / 19 Wong ,108:28:00,59.4,67.5,77.8,68.4,-0.15
91 Fleming / 26 Elliott / 19 Wong ,137:35:00,61.1,67.8,71.9,76.7,1.58
21 Bassi / 12 Kordic / 14 Sandilands,127:30:00,59.1,67.7,70.4,73.5,5.7
21 Bassi / 12 Kordic / 14 Sandilands,302:15:00,53.2,57.4,59.3,60.4,3.49
27 Mccallum / 11 Bierd ,222:52:00,50.7,51.4,49.4,54.3,-0.15
91 Fleming / 19 Wong ,58:14:00,58.5,65.1,69,69.1,1.95
53 Schaefer / 27 Mccallum / 7 Betinol,73:18:00,58.2,62.4,65.3,80.2,2.62
26 Elliott / 7 Betinol / 19 Wong,88:07:00,60.1,66.1,79.1,66.1,4.12
91 Fleming / 19 Wong,52:14:00,46.3,50.9,53.5,48.2,0.37
27 Mccallum / 11 Bierd,45:16:00,45.6,45.9,48.9,49.6,-0.15
21 Bassi / 12 Kordic / 14 Sandilands,214:21:00,55.3,63.9,67.3,71.7,11.16
26 Elliott / 7 Betinol / 19 Wong,139:20:00,67.2,71.4,85.2,81.1,0.63
21 Bassi / 12 Kordic / 14 Sandilands,161:42:00,66.1,72.8,79.3,79.5,1.94
21 Bassi / 12 Kordic / 14 Sandilands,299:05:00,52.8,56.4,56.3,60.8,4.12
21 Bassi / 12 Kordic / 14 Sandilands,167:57:00,63.7,70.4,78.3,79.8,4.41
27 Mccallum / 12 Kordic / 14 Sandilands,228:03:00,53.2,55.2,58.8,60.7,-7.03
91 Fleming / 19 Wong,229:50:00,50.7,52.3,50.7,53.5,_
21 Bassi / 12 Kordic / 14 Sandilands,126:00:00,55.8,66.5,68.8,69.9,11.56
27 Mccallum / 11 Bierd,257:01:00,51.2,54,54.8,56.2,1.69
91 Fleming / 19 Wong,49:18:00,53.3,58.6,60.6,57,1.23
91 Fleming /19 Wong,56:44:00,51.2,62.4,64.6,58.1,0.32
26 Elliott / 7 Betinol / 19 Wong,99:39:00,57.9,63,72.9,55.5,-2.93
27 Mccallum / 11 Bierd,52:02:00,50.4,52.3,52.9,42.1,-2.93
26 Elliott / 7 Betinol / 19 Wong,163:43:00,59.5,62.9,77.5,69.1,-6.8
91 Fleming / 19 Wong,263:04:00,50.5,52.1,50.8,49.9,-2.93
53 Schaefer / 27 Mccallum / 7 Betinol,248:03:00,51.6,53.6,54.4,57.7,0.25
7 Betinol / 19 Wong,153:29:00,50.2,52.3,52.3,65.1,3.55
21 Bassi / 12 Kordic / 14 Sandilands,376:49:00,54.2,59,61.4,62.7,0.29
91 Fleming / 26 Elliott / 19 Wong,136:05:00,58,66.7,70.5,73.5,-9.23
27 Mccallum / 11 Bierd,62:29:00,55.4,58,65.2,55.3,1.62
27 Mccallum / 11 Bierd,86:02:00,55.1,56.9,62.1,57.5,7.02
27 Mccallum / 11 Bierd,40:31:00,53,56.2,59.6,57.8,1.62
27 Mccallum / 11 Bierd,78:48:00,49.9,58.2,59,52.4,2.81
53 Schaefer / 27 Mccallum / 7 Betinol,268:59:00,52.3,54.2,55.9,60.2,0.76
